"","race.id","horse.ref","age","sireSR","trainerSR","daysLTO","position1","position2","position3","finpos","win","sp","entire","gelding","blinkers","visor","cheekpieces","tonguetie"
"1",1,1,7,6.2,5.4,96,"0","0","0",5,"no",18,0,1,0,0,0,0
"2",1,2,7,10,9.7,4,"3","1","2",9,"no",3.5,0,1,0,0,0,0
"3",1,3,4,8,11.1,23,"0","4","1",6,"no",8,0,0,0,0,0,0
"4",1,4,6,8.8,11.4,40,"4","1","0",3,"no",3.5,0,0,0,1,0,0
"5",1,5,8,4.7,11.9,14,"0","1","3",4,"no",11,0,1,0,0,1,0
"6",1,6,9,2.5,2.8,16,"3","0","0",1,"yes",6,0,1,1,0,0,0
"7",1,7,5,9.5,8.7,16,"0","0","0",2,"no",4.5,0,1,0,0,0,0
"8",1,8,6,8.1,9,2,"0","2","0",7,"no",9,0,1,0,1,0,0
"9",1,9,7,8.3,9,23,"0","0","0",8,"no",20,0,0,0,1,0,0
"10",2,1,9,8.1,5.2,16,"3","0","3",3,"no",4,0,1,0,1,0,0
"11",2,2,6,7.4,8.8,159,"0","0","2",7,"no",8,0,1,0,0,0,0
"12",2,3,10,0,0,5,"0","0","0",8,"no",16,0,1,0,0,0,0
"13",2,4,6,8.8,14,5,"0","0","1",5,"no",9,0,1,0,0,0,0
"14",2,5,5,9,13.6,23,"4","0","1",2,"no",2.25,0,0,0,0,0,0
"15",2,6,9,8.3,8.7,19,"4","1","2",1,"yes",7,0,1,0,0,0,0
"16",2,7,8,7.3,11.4,31,"0","0","0",6,"no",12,0,1,0,0,0,0
"17",2,8,7,7.1,10,14,"2","0","0",4,"no",5,0,1,0,0,0,0
"18",3,1,5,13.8,11.9,40,"3","1","0",2,"no",2,1,0,0,0,0,0
"19",3,2,7,7.3,9,13,"1","3","0",1,"yes",6,0,1,0,0,0,1
"20",3,3,4,12.4,15.5,12,"4","0","0",3,"no",8,0,0,0,0,0,0
"21",3,4,7,7.1,7,19,"4","2","4",5,"no",9,0,1,0,0,0,0
"22",3,5,6,8.8,11.4,12,"3","1","1",6,"no",10,0,1,1,0,0,0
"23",3,6,5,8.4,6,14,"1","1","1",4,"no",2,0,0,0,0,0,0
"24",3,7,5,8.1,5.2,19,"0","4","0",7,"no",33,0,1,0,0,0,0
"25",4,1,8,7.8,11.4,17,"3","0","0",3,"no",3.5,0,1,0,0,0,0
"26",4,2,4,13.8,11.9,19,"0","1","0",1,"yes",7,0,0,1,0,0,0
"27",4,3,8,12.4,3.9,9,"3","4","0",11,"no",4.5,0,1,1,0,0,0
"28",4,4,7,7,9.8,93,"0","0","0",10,"no",33,0,1,0,0,0,0
"29",4,5,6,8.1,6,19,"4","2","4",2,"no",6.5,0,1,0,0,0,0
"30",4,6,6,8.4,8.8,9,"0","4","4",7,"no",8,0,0,1,0,0,0
"31",4,7,8,0.8,6.4,141,"0","0","0",5,"no",20,0,1,0,0,1,0
"32",4,8,8,8.8,14,9,"0","0","0",6,"no",9,0,1,0,0,0,0
"33",4,9,6,9,0,24,"0","2","2",12,"no",14,0,1,0,1,0,0
"34",4,10,8,5,6.8,4,"0","0","0",8,"no",12,0,1,1,0,0,0
"35",4,11,5,5,6.8,148,"0","0","0",13,"no",16,0,0,1,0,0,0
"36",4,12,4,4.2,2.5,5,"0","0","4",4,"no",18,0,1,1,0,0,0
"37",4,13,8,10,3.9,6,"0","0","0",9,"no",50,0,1,0,0,0,0
"38",5,1,3,12.3,15.5,34,"0","1","0",1,"yes",2.5,1,0,0,0,0,0
"39",5,2,3,10,9,5,"2","2","0",3,"no",2.5,0,1,0,0,0,0
"40",5,3,3,12.5,10,5,"1","2","0",2,"no",2.5,1,0,0,0,0,0
"41",5,4,3,3.4,6.9,15,"1","0","0",5,"no",25,0,0,0,0,0,0
"42",5,5,3,8.3,7,5,"4","0","2",4,"no",3.5,1,0,0,0,0,1
"43",6,1,8,13.5,8.3,24,"0","1","1",2,"no",9,0,1,0,0,0,0
"44",6,2,11,20.6,11.6,17,"0","1","0",12,"no",7,0,1,0,0,0,0
"45",6,3,7,8.6,6.6,540,"0","0","0",9,"no",16,0,0,0,0,0,0
"46",6,4,5,11.5,8.6,10,"1","0","0",5,"no",3,0,0,0,0,1,0
"47",6,5,4,12.7,8.8,46,"0","0","0",10,"no",12,0,1,1,0,0,0
"48",6,6,6,0,6.8,62,"0","0","2",1,"yes",16,0,1,0,0,0,0
"49",6,7,8,16.8,14.6,6,"0","0","0",4,"no",3,0,1,0,0,0,0
"50",6,8,11,7.6,7.2,25,"0","0","2",13,"no",20,0,1,0,0,0,0
"51",6,9,8,0,8.4,182,"0","0","3",11,"no",25,0,0,0,0,0,1
"52",6,10,7,0,6.9,316,"0","3","0",7,"no",14,0,1,0,0,0,0
"53",6,11,10,3,5.9,21,"4","0","4",8,"no",40,0,1,0,0,1,0
"54",6,12,8,12.5,9.7,27,"0","4","0",6,"no",12,0,1,0,0,1,0
